Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C,combined_text
Defibrillator,Model 6879,Sonova,Version 13,2018-02-28,Class III,H692530,Pediatric (2-18),Designed for home-based phototherapy in stable substance abuse patients with chronic diabetes.,Do not use in combination with sedatives or pain management modalities.,Chemical Sterilization,14,27,8.0,16.64,33.0,Device Name: Defibrillator. Model: Model 6879. Manufacturer: Sonova. Indications: Designed for home-based phototherapy in stable substance abuse patients with chronic diabetes.. Contraindications: Do not use in combination with sedatives or pain management modalities..
Syringe Pump,Plus551,Becton Dickinson,Rev. 7.9,2024-04-29,Class III,HC-336875,Adult (18-65),Designed for surgical assistance assistance in geriatric care facilities for elderly patients.,Contraindicated in presence of metallic particles or during defibrillation.,Ethylene Oxide (EtO),11,17,9.0,2.27,34.0,Device Name: Syringe Pump. Model: Plus551. Manufacturer: Becton Dickinson. Indications: Designed for surgical assistance assistance in geriatric care facilities for elderly patients.. Contraindications: Contraindicated in presence of metallic particles or during defibrillation..
Digital Thermometer,SAR381,Sartorius,v3.4,2018-05-19,Class I,HC-821061,Neonatal,Used for therapeutic radiation therapy in chemotherapy patients requiring surgical intervention.,Avoid use in patients with active bleeding disorders or compromised renal function.,Ethylene Oxide (EtO),6,13,5.0,0.31,22.0,Device Name: Digital Thermometer. Model: SAR381. Manufacturer: Sartorius. Indications: Used for therapeutic radiation therapy in chemotherapy patients requiring surgical intervention.. Contraindications: Avoid use in patients with active bleeding disorders or compromised renal function..
Defibrillator,Model 5450,Zeiss Medical Technology,2021-02-X,2020-03-22,Class II,H385828,Adult,Used for therapeutic oxygen therapy in chemotherapy patients requiring joint replacement.,Not suitable for use during therapeutic ultrasound or MRI.,Steam Sterilization,25,18,5.0,14.96,38.0,Device Name: Defibrillator. Model: Model 5450. Manufacturer: Zeiss Medical Technology. Indications: Used for therapeutic oxygen therapy in chemotherapy patients requiring joint replacement.. Contraindications: Not suitable for use during therapeutic ultrasound or MRI..
Digital Thermometer,Pro409,Dentsply Sirona,Version 1,2021-01-19,Class III,BLA122793,Geriatric,Used for post-operative dialysis management in hospital recovery units.,Contraindicated in patients with thrombocytopenia or frostbite risk.,Dry Heat,3,6,4.0,0.16,28.0,Device Name: Digital Thermometer. Model: Pro409. Manufacturer: Dentsply Sirona. Indications: Used for post-operative dialysis management in hospital recovery units.. Contraindications: Contraindicated in patients with thrombocytopenia or frostbite risk..
Infusion Pump,Max583,Beckman Coulter,2023-07-C,2023-10-16,Class I,NMPA-175754,Neonatal,Indicated for continuous blood pressure monitoring during gastroenterological surgical procedures.,None,Hydrogen Peroxide Plasma,12,8,10.0,1.64,11.0,Device Name: Infusion Pump. Model: Max583. Manufacturer: Beckman Coulter. Indications: Indicated for continuous blood pressure monitoring during gastroenterological surgical procedures.. Contraindications: None.
ECG Machine,EDW168,Edwards Lifesciences,v7.4,2015-08-15,Class IIa,NDA694607,Adult (>65),Intended for sterilization verification in quality assurance and device validation protocols.,None,Dry Heat,10,6,10.0,17.99,36.0,Device Name: ECG Machine. Model: EDW168. Manufacturer: Edwards Lifesciences. Indications: Intended for sterilization verification in quality assurance and device validation protocols.. Contraindications: None.
Blood Pressure Monitor,Max654,Dexcom,Version 18,2015-11-21,Class IIa,HC-983696,Adult,Indicated for real-time glucose levels assessment in emergency department triage protocols.,Do not use in patients with coagulopathy. Contraindicated in unstable patient conditions.,,13,17,11.0,2.29,24.0,Device Name: Blood Pressure Monitor. Model: Max654. Manufacturer: Dexcom. Indications: Indicated for real-time glucose levels assessment in emergency department triage protocols.. Contraindications: Do not use in patients with coagulopathy. Contraindicated in unstable patient conditions..
Blood Pressure Monitor,HOY943,Hoya Corporation,Rev. 9.3,2020-12-21,Class IIb,H813705,Adult and Pediatric,Intended for imaging verification in quality assurance and device validation protocols.,Contraindicated in patients with severe immunodeficiency or uncontrolled cardiomyopathy.,Single-Use Sterile,12,13,5.0,1.83,24.0,Device Name: Blood Pressure Monitor. Model: HOY943. Manufacturer: Hoya Corporation. Indications: Intended for imaging verification in quality assurance and device validation protocols.. Contraindications: Contraindicated in patients with severe immunodeficiency or uncontrolled cardiomyopathy..
Ultrasound Scanner,ABB151,Abbott,2021-02-U,2020-04-10,Class IIb,HC-283941,Adult and Pediatric,Designed for symptom relief assistance in geriatric care facilities for elderly patients.,"Not recommended during pregnancy, lactation, or in mentally impaired under 16 years.",,8,11,12.0,1.29,10.0,"Device Name: Ultrasound Scanner. Model: ABB151. Manufacturer: Abbott. Indications: Designed for symptom relief assistance in geriatric care facilities for elderly patients.. Contraindications: Not recommended during pregnancy, lactation, or in mentally impaired under 16 years.."
Nebulizer,Model 2763,Aesculap,v7.1,2025-10-11,Class I,NDA414561,Adult,Intended for imaging support in cardiac catheterization laboratory environments.,None,Single-Use Sterile,5,3,5.0,,28.0,Device Name: Nebulizer. Model: Model 2763. Manufacturer: Aesculap. Indications: Intended for imaging support in cardiac catheterization laboratory environments.. Contraindications: None.
Ultrasound Scanner,B-6811,Edwards Lifesciences,Version 19,2017-08-28,Class I,PMDA-202457,Geriatric,Designed for home-based pain management in stable post-operative patients with chronic renal failure.,Not recommended for patients with pacemakers or severe cardiomyopathy.,Chemical Sterilization,6,3,13.0,19.37,33.0,Device Name: Ultrasound Scanner. Model: B-6811. Manufacturer: Edwards Lifesciences. Indications: Designed for home-based pain management in stable post-operative patients with chronic renal failure.. Contraindications: Not recommended for patients with pacemakers or severe cardiomyopathy..
Infusion Pump,Max954,Terumo,v9.9,2019-05-16,Class III,TGA-129143,Adult and Pediatric,Designed for perioperative blood pressure management during minimally invasive interventions.,Avoid use in patients with insulin pumps or vascular stents. Not suitable for extreme temperature environments.,Dry Heat,12,19,12.0,5.47,,Device Name: Infusion Pump. Model: Max954. Manufacturer: Terumo. Indications: Designed for perioperative blood pressure management during minimally invasive interventions.. Contraindications: Avoid use in patients with insulin pumps or vascular stents. Not suitable for extreme temperature environments..
Defibrillator,Model 6230,Zimmer Biomet,v7.8,2021-06-12,Class III,PMA561030,Neonatal,Intended for disease management evaluation in rehabilitation medicine for cardiac disorders recovery.,Avoid use in patients with mesh implants or mesh implants. Not suitable for oxygen-rich environments.,Gamma Irradiation,17,27,10.0,10.54,17.0,Device Name: Defibrillator. Model: Model 6230. Manufacturer: Zimmer Biomet. Indications: Intended for disease management evaluation in rehabilitation medicine for cardiac disorders recovery.. Contraindications: Avoid use in patients with mesh implants or mesh implants. Not suitable for oxygen-rich environments..
Surgical Robot,EDW674,Edwards Lifesciences,2024-09-G,2025-11-09,Class II,BLA825108,Pediatric (2-18),Designed for drug delivery optimization in chronic disease management programs.,Do not use if sensor failure is detected or routine maintenance has expired.,Not Applicable,17,15,,3.29,19.0,Device Name: Surgical Robot. Model: EDW674. Manufacturer: Edwards Lifesciences. Indications: Designed for drug delivery optimization in chronic disease management programs.. Contraindications: Do not use if sensor failure is detected or routine maintenance has expired..
Anesthesia Machine,Max675,Danaher,2022-05-F,2024-07-20,Class IIb,K927570,Pediatric (2-18),Designed for home-based electrotherapy in stable paralyzed patients with chronic cardiac disorders.,Avoid use if patient has malignant hyperthermia or is receiving adhesive compounds.,Steam Sterilization,15,19,14.0,125.15,31.0,Device Name: Anesthesia Machine. Model: Max675. Manufacturer: Danaher. Indications: Designed for home-based electrotherapy in stable paralyzed patients with chronic cardiac disorders.. Contraindications: Avoid use if patient has malignant hyperthermia or is receiving adhesive compounds..
Patient Monitor,Pro661,Getinge,2025-11-Z,2017-11-02,Class II,H324797,Adult and Pediatric,Designed for therapeutic delivery assistance in geriatric care facilities for elderly patients.,Do not use if battery depletion is detected or quality control has expired.,Steam Sterilization,8,14,5.0,5.02,11.0,Device Name: Patient Monitor. Model: Pro661. Manufacturer: Getinge. Indications: Designed for therapeutic delivery assistance in geriatric care facilities for elderly patients.. Contraindications: Do not use if battery depletion is detected or quality control has expired..
Anesthesia Machine,Model 244,Medtronic,2021-12-Z,2025-07-09,Class I,HDE651484,Pediatric (2-18),Designed for life support assistance in geriatric care facilities for elderly patients.,Not recommended for use in substance abuse patients or those with severe osteoporosis.,Pre-Sterilized,21,27,20.0,50.8,15.0,Device Name: Anesthesia Machine. Model: Model 244. Manufacturer: Medtronic. Indications: Designed for life support assistance in geriatric care facilities for elderly patients.. Contraindications: Not recommended for use in substance abuse patients or those with severe osteoporosis..
Pacemaker,Pro372,Siemens Healthineers,Version 20,2018-09-14,Class IIa,HC-824678,All,Intended for monitoring and measuring intracranial pressure in pregnant patients in hospital and clinical settings.,Not recommended for use in geriatric patients or those with respiratory failure.,Single-Use Sterile,8,3,19.0,0.18,38.0,Device Name: Pacemaker. Model: Pro372. Manufacturer: Siemens Healthineers. Indications: Intended for monitoring and measuring intracranial pressure in pregnant patients in hospital and clinical settings.. Contraindications: Not recommended for use in geriatric patients or those with respiratory failure..
Ultrasound Scanner,Model 9540,Nipro Corporation,Version 1,2015-08-17,Class IIa,PMA501313,Pediatric (2-18),Designed for perioperative glucose levels management during endoscopic interventions.,Do not use during general anesthesia administration or in sedated.,Autoclave,9,3,6.0,15.16,30.0,Device Name: Ultrasound Scanner. Model: Model 9540. Manufacturer: Nipro Corporation. Indications: Designed for perioperative glucose levels management during endoscopic interventions.. Contraindications: Do not use during general anesthesia administration or in sedated..
Stent,Plus909,Cook Medical,v1.2,2024-10-15,Class III,MDR-315842,Pediatric,Designed for home-based electrotherapy in stable hemodynamically unstable patients with chronic hypertension.,"Not recommended during pregnancy, lactation, or in pediatric under 16 years.",Chemical Sterilization,3,7,16.0,0.02,42.0,"Device Name: Stent. Model: Plus909. Manufacturer: Cook Medical. Indications: Designed for home-based electrotherapy in stable hemodynamically unstable patients with chronic hypertension.. Contraindications: Not recommended during pregnancy, lactation, or in pediatric under 16 years.."
